               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076094,             0.13305,           0.0051557,             0.75502,             0.34807,             0.27404,            0.077346,            0.044974,             0.39466,           0.0016767,            0.070032,           0.0033298,           0.0033298
                   1,            0.056749,             0.12858,           0.0021211,             0.91813,             0.42554,             0.41854,             0.16304,            0.035868,              0.3987,           0.0017754,             0.04001,           0.0066411,           0.0066411
                   2,            0.053162,             0.12693,           0.0022643,             0.87936,             0.40842,             0.43182,              0.1704,            0.034721,             0.39675,           0.0017161,           0.0099661,           0.0099305,           0.0099305
                   3,            0.047719,             0.12479,           0.0020392,             0.90687,             0.41744,             0.58533,             0.17595,            0.033682,             0.40018,           0.0014666,            0.009901,            0.009901,            0.009901
                   4,            0.043203,             0.12092,             0.00164,             0.59497,             0.69604,             0.62857,             0.23138,            0.033633,             0.39268,          0.00085857,            0.009901,            0.009901,            0.009901
                   5,            0.041593,             0.12104,            0.001155,             0.74084,             0.68938,              0.6595,             0.24468,            0.031253,             0.38826,          0.00059944,            0.009868,            0.009868,            0.009868
                   6,            0.040341,             0.11884,           0.0010395,             0.78731,             0.74403,             0.71127,             0.26836,            0.031202,             0.39358,           0.0005452,            0.009835,            0.009835,            0.009835
                   7,            0.039097,             0.11812,          0.00081392,             0.78831,             0.74813,             0.71778,             0.26856,             0.03114,             0.39228,          0.00048314,            0.009802,            0.009802,            0.009802
                   8,            0.037682,             0.11776,          0.00073524,             0.77828,             0.73337,             0.69023,             0.26179,             0.03109,             0.39316,          0.00044376,            0.009769,            0.009769,            0.009769
                   9,            0.036577,             0.11526,          0.00069575,             0.79453,             0.74515,             0.71125,              0.2697,            0.030319,             0.38667,          0.00041007,            0.009736,            0.009736,            0.009736
                  10,            0.036414,             0.11462,           0.0007336,             0.80762,             0.77461,             0.73494,             0.28044,            0.029971,             0.38863,          0.00038958,            0.009703,            0.009703,            0.009703
                  11,            0.035047,             0.11492,          0.00059086,             0.79549,             0.76659,             0.71301,             0.26898,            0.029717,             0.38894,          0.00035332,             0.00967,             0.00967,             0.00967
                  12,            0.034601,             0.11457,          0.00051645,              0.7905,             0.76175,             0.70407,             0.26609,            0.030007,             0.39095,          0.00032227,            0.009637,            0.009637,            0.009637
                  13,            0.034228,             0.11231,          0.00050912,             0.77849,             0.74683,             0.68298,             0.26011,            0.030027,             0.39115,          0.00032607,            0.009604,            0.009604,            0.009604
                  14,            0.033294,             0.11294,          0.00047698,             0.76429,             0.73468,              0.6727,              0.2601,            0.029919,             0.39164,          0.00030136,            0.009571,            0.009571,            0.009571
                  15,             0.03354,              0.1125,          0.00045624,             0.78056,             0.75092,             0.68849,              0.2657,            0.029652,             0.39268,            0.000339,            0.009538,            0.009538,            0.009538
                  16,            0.032759,             0.11156,            0.000438,             0.80364,             0.76649,             0.72139,             0.27432,            0.029509,             0.39331,          0.00031179,            0.009505,            0.009505,            0.009505
                  17,            0.032392,              0.1099,          0.00039302,             0.78141,             0.74933,             0.68466,             0.26279,            0.029868,             0.39622,          0.00028639,            0.009472,            0.009472,            0.009472
                  18,            0.031756,             0.11057,          0.00037362,             0.78821,             0.75266,             0.69602,             0.26669,            0.030059,             0.39361,          0.00026943,            0.009439,            0.009439,            0.009439
                  19,            0.031957,             0.10886,          0.00035683,              0.7939,             0.75895,             0.69553,             0.26754,            0.029446,             0.39255,          0.00026529,            0.009406,            0.009406,            0.009406
                  20,            0.031871,             0.10678,          0.00040232,              0.7784,             0.74776,             0.68415,             0.26123,            0.030154,             0.40057,          0.00027151,            0.009373,            0.009373,            0.009373
                  21,            0.031477,             0.10713,          0.00034914,             0.77319,              0.7408,             0.67012,             0.25302,            0.030182,             0.40334,          0.00027555,             0.00934,             0.00934,             0.00934
                  22,            0.030869,             0.10685,          0.00037608,             0.78628,             0.75242,             0.68491,             0.25981,            0.029893,             0.40314,          0.00026285,            0.009307,            0.009307,            0.009307
                  23,            0.030235,             0.10583,          0.00035899,             0.78666,             0.75373,             0.68885,             0.26579,             0.02937,             0.39655,          0.00026703,            0.009274,            0.009274,            0.009274
                  24,            0.030386,              0.1053,          0.00032724,             0.80408,              0.7771,             0.72762,             0.27551,            0.029972,             0.40837,          0.00030149,            0.009241,            0.009241,            0.009241
                  25,            0.029606,             0.10405,            0.000329,             0.78929,             0.76083,             0.69586,             0.26416,            0.029837,             0.40277,          0.00028969,            0.009208,            0.009208,            0.009208
                  26,            0.029264,             0.10414,          0.00032727,             0.77434,              0.7519,             0.68164,             0.25472,            0.030585,             0.40974,          0.00029718,            0.009175,            0.009175,            0.009175
                  27,            0.029033,             0.10303,          0.00033085,             0.81059,             0.76867,             0.71948,             0.27031,             0.03022,             0.41217,          0.00029132,            0.009142,            0.009142,            0.009142
                  28,            0.028793,             0.10239,          0.00031928,             0.78413,             0.75368,              0.6928,             0.25862,            0.030652,             0.41626,          0.00027707,            0.009109,            0.009109,            0.009109
                  29,            0.028371,             0.10133,          0.00033804,             0.76551,             0.73419,             0.66404,             0.24919,            0.030604,             0.42002,          0.00032323,            0.009076,            0.009076,            0.009076
                  30,              0.0282,            0.099862,          0.00030267,             0.75447,             0.72651,             0.65271,             0.24882,            0.030464,              0.4163,          0.00025382,            0.009043,            0.009043,            0.009043
