               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07376,             0.12387,           0.0050561,             0.76532,             0.33328,             0.27831,            0.089517,            0.044332,             0.37511,          0.00086565,            0.070032,           0.0033298,           0.0033298
                   1,            0.056626,              0.1246,           0.0013275,             0.88268,             0.40641,             0.38696,             0.13349,            0.043275,             0.36581,          0.00099353,              0.0399,           0.0065312,           0.0065312
                   2,            0.053248,             0.12225,           0.0014037,             0.82998,             0.37597,               0.315,            0.098992,            0.041649,              0.3625,           0.0010303,           0.0096363,           0.0096006,           0.0096006
                   3,            0.048479,             0.11973,           0.0012818,             0.88245,             0.40079,             0.40544,             0.15697,            0.038665,             0.35575,          0.00092746,            0.009406,            0.009406,            0.009406
                   4,            0.044997,             0.11792,           0.0011496,              0.9228,             0.42886,             0.43453,             0.18047,            0.034417,             0.35377,          0.00082646,            0.009406,            0.009406,            0.009406
                   5,            0.042522,             0.11859,          0.00096227,             0.93233,             0.43176,             0.43896,             0.18875,            0.032884,             0.35289,          0.00076885,            0.009208,            0.009208,            0.009208
                   6,            0.040516,             0.11679,          0.00087365,             0.93721,             0.43597,              0.4442,             0.19096,            0.032581,             0.34997,          0.00069046,             0.00901,             0.00901,             0.00901
                   7,            0.038782,             0.11606,          0.00076394,             0.94099,             0.43888,             0.44852,             0.20064,            0.030701,             0.34478,          0.00059779,            0.008812,            0.008812,            0.008812
                   8,            0.037963,             0.11623,          0.00072701,             0.94476,             0.44071,             0.45053,             0.19604,            0.031267,             0.34495,          0.00054342,            0.008614,            0.008614,            0.008614
                   9,            0.036962,             0.11396,           0.0006508,             0.94948,             0.44639,             0.45692,             0.20802,            0.029624,             0.34138,          0.00048577,            0.008416,            0.008416,            0.008416
                  10,            0.036119,             0.11311,          0.00060046,             0.95092,             0.44772,             0.45863,             0.21221,            0.029268,              0.3393,          0.00045635,            0.008218,            0.008218,            0.008218
                  11,             0.03585,              0.1138,          0.00055222,             0.94964,             0.44657,             0.45776,             0.21162,            0.029425,             0.33994,          0.00042531,             0.00802,             0.00802,             0.00802
                  12,            0.034773,             0.11402,          0.00050059,             0.95065,             0.44864,             0.45822,              0.2149,            0.028916,             0.33655,          0.00038714,            0.007822,            0.007822,            0.007822
                  13,            0.034693,             0.11159,          0.00050511,             0.95329,             0.45098,             0.46297,             0.21608,             0.02885,             0.33552,           0.0003813,            0.007624,            0.007624,            0.007624
                  14,             0.03424,             0.11214,          0.00050561,              0.9554,             0.45153,             0.47077,             0.21945,            0.028674,             0.33433,          0.00036386,            0.007426,            0.007426,            0.007426
                  15,            0.034097,             0.11222,          0.00045556,             0.95395,             0.45135,             0.47221,             0.22416,            0.028183,             0.33245,          0.00034067,            0.007228,            0.007228,            0.007228
                  16,            0.033679,              0.1116,           0.0004808,             0.95618,             0.45398,             0.47676,             0.22833,            0.027712,             0.33063,           0.0003226,             0.00703,             0.00703,             0.00703
                  17,            0.033196,             0.11066,          0.00040306,             0.95668,             0.45414,             0.48311,             0.22927,              0.0279,             0.33003,          0.00030122,            0.006832,            0.006832,            0.006832
                  18,            0.032666,             0.11083,          0.00039211,             0.95863,             0.45508,             0.48435,             0.23458,            0.027453,             0.32755,          0.00028093,            0.006634,            0.006634,            0.006634
                  19,            0.032507,             0.10958,          0.00040456,             0.95974,             0.45745,             0.49598,             0.23908,            0.027268,             0.32553,           0.0002601,            0.006436,            0.006436,            0.006436
                  20,            0.032083,             0.10794,          0.00035909,             0.95954,             0.45662,             0.49021,             0.23858,            0.026956,               0.324,          0.00024063,            0.006238,            0.006238,            0.006238
                  21,            0.032395,             0.10853,          0.00032335,             0.95948,             0.45704,             0.49366,             0.24113,            0.026809,             0.32381,          0.00023239,             0.00604,             0.00604,             0.00604
                  22,            0.031718,             0.10764,          0.00031825,             0.96133,             0.45876,             0.49618,             0.24484,             0.02659,             0.32059,          0.00020329,            0.005842,            0.005842,            0.005842
                  23,            0.031283,             0.10746,          0.00028284,             0.96295,             0.46042,             0.49571,             0.24513,            0.026505,             0.31959,           0.0001829,            0.005644,            0.005644,            0.005644
                  24,            0.031242,             0.10753,          0.00028222,             0.44137,             0.56529,             0.49736,             0.25012,             0.02631,             0.31777,          0.00017308,            0.005446,            0.005446,            0.005446
                  25,            0.030943,             0.10597,           0.0002518,             0.44334,             0.58258,             0.49812,             0.25254,            0.025933,             0.31413,          0.00015632,            0.005248,            0.005248,            0.005248
                  26,            0.030828,              0.1061,          0.00025312,             0.44169,             0.55527,             0.50273,             0.25591,            0.025673,             0.31245,          0.00015098,             0.00505,             0.00505,             0.00505
                  27,            0.030228,             0.10587,          0.00025727,             0.44159,             0.56491,             0.50382,             0.25759,            0.025565,              0.3115,          0.00014093,            0.004852,            0.004852,            0.004852
                  28,            0.029882,             0.10451,          0.00021668,             0.45538,             0.56993,             0.50332,             0.26156,             0.02517,             0.30872,          0.00013163,            0.004654,            0.004654,            0.004654
                  29,            0.029605,             0.10376,          0.00022359,             0.44745,             0.60705,             0.50287,             0.26381,            0.024917,              0.3063,           0.0001236,            0.004456,            0.004456,            0.004456
                  30,            0.029142,             0.10317,          0.00020003,             0.45589,             0.56674,             0.50268,             0.26713,            0.024671,             0.30438,          0.00011106,            0.004258,            0.004258,            0.004258
                  31,            0.029155,             0.10249,          0.00019319,             0.44909,             0.52982,             0.50362,              0.2697,            0.024262,             0.30247,          0.00010639,             0.00406,             0.00406,             0.00406
                  32,            0.028738,             0.10282,           0.0002302,             0.48433,             0.53438,             0.51224,             0.27424,            0.024042,             0.30092,          9.9511e-05,            0.003862,            0.003862,            0.003862
                  33,            0.028011,            0.099836,          0.00018452,             0.49096,             0.59122,             0.50823,             0.27576,            0.023906,             0.29856,          9.3387e-05,            0.003664,            0.003664,            0.003664
                  34,            0.028188,             0.10089,          0.00018112,             0.47497,             0.63959,             0.50948,             0.27751,            0.023753,             0.29764,          8.5999e-05,            0.003466,            0.003466,            0.003466
                  35,            0.027572,             0.10005,          0.00017071,              0.4728,             0.62219,             0.50959,              0.2805,            0.023342,              0.2957,          8.3728e-05,            0.003268,            0.003268,            0.003268
                  36,            0.027228,            0.099764,          0.00017278,             0.47657,             0.62256,             0.51227,             0.28331,            0.023221,             0.29398,          7.8124e-05,             0.00307,             0.00307,             0.00307
                  37,            0.027216,            0.098989,          0.00016434,             0.47155,             0.63726,             0.50991,             0.28402,            0.023079,             0.29239,          7.3465e-05,            0.002872,            0.002872,            0.002872
                  38,            0.026841,            0.098298,            0.000159,              0.4716,             0.61959,             0.51043,             0.28663,            0.022852,             0.29073,          7.0673e-05,            0.002674,            0.002674,            0.002674
                  39,            0.026193,            0.098325,          0.00014931,             0.47894,             0.60485,              0.5121,             0.28804,            0.022773,             0.28973,          6.9669e-05,            0.002476,            0.002476,            0.002476
